t,alt,ax,ay,az,gx,gy,gz,escPWM,rollDeg,pitchDeg
22928,-51.98,-0.2646,0.1492,0.9363,-0.2141,-0.0280,0.0056,1578,8.18,3.52
23026,-52.11,-0.2246,0.0974,0.9563,0.0115,-0.0265,-0.1063,1578,8.18,2.27
23124,-51.94,-0.1882,0.1628,0.9099,0.1581,-0.0422,-0.2745,1578,8.18,2.04
23223,-51.87,-0.2158,0.1638,0.8796,0.0590,0.0489,-0.2719,1578,8.18,0.60
23322,-52.08,-0.2446,0.1272,0.8296,-0.0823,0.1226,-0.0773,1578,8.18,-4.47
23420,-51.71,-0.2820,0.0925,0.8062,-0.1046,-0.0518,-0.0221,1578,8.18,-8.18
23518,-51.93,-0.2307,0.0854,0.8303,-0.0073,-0.1600,0.2074,1578,8.18,-8.18
23616,-51.94,-0.1147,0.1243,0.8323,0.0797,-0.1800,0.0544,1578,8.18,-8.18
23714,-51.92,-0.1895,0.1682,0.8247,-0.1029,-0.1976,0.3250,1578,8.18,-8.18
23812,-51.88,-0.1831,0.2017,0.8784,-0.5353,-0.2429,0.5408,1578,8.18,-8.18
23910,-52.14,-0.1526,0.0701,0.9482,-0.7553,-0.2435,0.5689,1578,8.18,-6.04
24008,-51.98,-0.1416,-0.0732,0.9644,-0.5660,-0.2799,0.1780,1578,8.18,5.37
24106,-52.21,0.0017,-0.0544,0.9790,-0.1368,-0.1929,0.1092,1578,8.18,8.18
24204,-52.48,0.0547,-0.0320,1.0469,-0.0164,-0.1821,-0.2966,1578,8.18,8.18
24303,-52.20,-0.1077,-0.0251,1.0598,-0.0204,-0.1484,-0.2603,1578,8.18,8.18
24402,-52.47,-0.1023,-0.1106,1.1858,0.1671,-0.0930,-0.2402,1578,8.18,8.18
24500,-52.34,0.0164,-0.0664,1.0984,0.3849,0.1411,-0.2914,1578,8.18,8.18
24598,-52.16,-0.1091,-0.0574,1.1169,0.5576,0.1019,-0.2503,1579,8.18,8.18
24696,-52.44,-0.1282,-0.0676,1.0828,1.0184,0.1102,-0.3441,1579,8.18,8.18
24794,-52.51,-0.0745,0.1138,0.9802,1.6642,0.1809,-0.4831,1579,8.18,1.06
24892,-52.40,-0.0891,0.4001,0.8457,1.7265,0.2729,-0.5100,1579,8.18,-6.90
24990,-52.37,-0.1465,0.6406,0.7783,1.1882,0.2976,-0.2384,1579,8.18,-8.18
25088,-52.43,-0.2295,0.8169,0.7041,0.2132,0.2691,0.1672,1579,8.18,-8.18
25186,-52.18,-0.3052,0.7256,0.7441,-0.7682,0.1152,0.4915,1579,8.18,-8.18
25284,-52.38,-0.1921,0.5618,0.7500,-1.2894,-0.0715,0.5917,1579,8.18,-8.18
25383,-52.40,-0.2058,0.2942,0.8159,-1.7637,-0.2320,0.6316,1579,8.18,-8.18
25482,-52.39,-0.2078,0.0735,0.8928,-1.6321,-0.4367,0.8298,1579,8.18,-8.18
25580,-52.42,0.0159,-0.1494,1.0166,-0.8180,-0.6218,0.2455,1579,8.18,-1.95
25678,-52.57,0.1536,-0.1062,1.0837,0.2366,-0.2134,-0.0890,1579,8.18,8.18
25776,-52.53,0.1570,0.0977,1.0740,0.5530,0.1150,-0.3920,1579,8.18,8.18
25874,-52.37,0.0896,0.2544,1.0066,0.1478,0.7449,-0.1343,1579,7.40,8.18
25972,-52.33,0.0791,0.2144,0.9226,-0.2228,1.4140,0.2150,1579,5.99,8.18
26070,-52.58,-0.2981,0.1643,0.9832,-0.2016,1.2859,-0.0775,1579,8.18,8.18
26168,-52.34,-0.3872,0.0847,0.9248,-0.2096,0.6989,-0.5061,1579,8.18,8.18
26266,-52.55,-0.5237,0.0149,0.8552,-0.1368,0.5088,-0.1896,1579,8.18,8.18
26364,-52.36,-0.5208,-0.0093,0.8279,0.0581,0.0813,-0.1025,1579,8.18,8.18
26463,-52.33,-0.5552,0.0168,0.8433,0.2705,-0.3236,-0.1254,1579,8.18,3.98
26562,-52.66,-0.4216,0.1125,0.8528,0.2234,-0.8344,-0.2450,1579,8.18,-0.09
26660,-52.45,-0.3132,0.1729,0.8872,-0.1727,-1.0395,0.1555,1579,8.18,-3.22
26758,-52.25,-0.1687,0.1047,0.8755,-0.4453,-1.2361,0.3183,1579,8.18,-8.13
